lat,lon,depth,size,Bleaching,Genus,health
2.778122,104.117709,6,1,1,Porites,1
5.734846,73.413841,11,1,0,Porites,5
3.254889 ,72.821649,7.5,1,0,Porites,5
10.119573,99.814492,7,1,0,Diploastrea,5
-4.584321,55.9342,14,1,0,Porites,5
4.828444,72.877972,8,2,0,Psammocora,2
4.2620159,73.3773167,14,1,0,Pavona,2
3.1455668,73.0256942,14,3,0,Pavona,3
3.273098,72.823345,9.5,2,0,Pavona,3
5.03781,72.882645,1.5,1,1,Porites,3
1.90517,73.26185,24,1,0,Montipora,3
3.198842,72.994275,7,1,0,Heliopora,3
3.784224,72.727359,6.5,1,1,Porites,3
29.522172,34.934297,9,1,0,Porites,3
4.610390,73.574645,4.9,1,NA,Porites,3
10.06396,99.82313,5.8,1,0,Porites,3
4.8723607,72.9826052,4,1,0,Psammocora,3
4.8724088,72.9824892,5,1,0,Psammocora,3
4.8761470,72.9350359,5.3,1,0,Porites,3
4.8283406,72.8781050,8,1,0,Psammocora,3
-8.6762518,115.5240213,14,3,0,Galaxea,4
-0.570124,130.658198,16,3,0,Goniopora,4
4.26182 ,73.37843,13,3,0,Goniopora,4
5.0413,72.8839,3.3,2,0,Porites,4
3.089641,72.857229,9.5,2,0,Pavona,4
1.785286,73.392336,21.8,2,0,Porites,4
0.629359,73.456153,17,2,0,Porites,4
0.629359,73.456153,15,2,0,Porites,4
3.125056,72.929278,12,2,0,Turbinaria,4
3.117464,73.018132,9,2,0,Pavona,4
4.258463,73.381279,12.2,2,0,Pavona,4
4.8745224,72.8871156,10.8,2,0,Turbinaria,4
3.096956,72.859659,9.8,1,0,Psammocora,4
5.0403,72.8774,5,1,0,Porites,4
4.432821,73.384194,6,1,0,Porites,4
3.199054,72.994238,2.5,1,0,Heliopora,4
3.199054,72.994238,2.5,1,0,Heliopora,4
3.078908,72.968434,12,1,0,Pavona,4
2.13414,73.58631,18.7,1,NA,Porites,4
2.1151,73.53875,6.9,1,1,Porites,4
4.434602,73.383592,3.3,1,0,Porites,4
5.0757 ,72.8250,19.5,1,1,Porites,4
4.435321,73.383362,7,1,0,Porites,4
4.435837,73.383158,4.1,1,1,Porites,4
3.099812,73.009840,21,1,0,Porites,4
2.033079,73.528239,8.1,1,0,Diploastrea,4
3.71670,72.97050,15.5,1,0,Porites,4
-4.926009524893752 ,119.31608855427052,5,1,0,Porites,4
3.90670,73.47990,15.3,1,0,Porites,4
10.1027674,99.8504210,9,1,0,Diploastrea,4
10.118453,99.815334,6,1,1,Porites,4
10.102240,99.851699,6,1,1,Diploastrea,4
0.6472460,73.43877,17,1,0,Porites,4
0.6472460,73.43877,17,1,0,Porites,4
0.6472460,73.43877,17,1,0,Porites,4
0.658111,73.411701,17,1,0,Porites,4
0.626831,73.453155,17,1,0,Porites,4
4.639238,73.402818,5.3,1,1,Porites,4
3.90670,73.47990,17.5,1,1,Porites,4
4.610380,73.575585,6,1,0,Porites,4
1.806554,73.422618,16,1,1,Porites,4
-23.3031609,151.9137163,NA,1,1,Porites,4
10.1222394,99.8146889,7.5,1,0,Diploastrea,4
10.1229147,99.8145139,10,1,1,Diploastrea,4
3.127194,72.931667,12,1,0,Goniopora,4
10.11839,99.81444,5,1,1,Porites,4
10.11839,99.81444,5.5,1,1,Porites,4
10.11841,99.81444,7,1,1,Porites,4
25.191000,36.97500,9.7,1,0,Porites,4
-4.580400,55.934200,NA,1,0,Porites,4
-8.674901,115.513802,5,1,0,Acropora,4
-8.674934,115.514330,8,1,0,Porites,4
-8.675428,115.515410,4,1,0,Acopora,4
3.1042348,72.9692126,10,1,0,Goniopora,4
3.1284418,72.9354198,13,1,0,Goniopora,4
10.11882,99.81432,6.2,1,0,Diploastrea,4
10.11830,99.81453,5.9,1,1,Porites,4
4.8746527,72.8979259,4.2,1,0,Porites,4
4.8392601,72.954775,5.5,1,0,Porites,4
4.8394071,72.9544960,5.5,1,0,Porites,4
4.8606172,72.8695695,6,1,0,Porites,4
4.446153,72.96299,14.8,1,0,Porites,4
-8.670468,115.518544,18,2,NA,Galaxea,NA
-8.715528,115.457206,10,1,NA,Porites,NA
10.105247,99.846326,8.5,1,0,Porites,NA
